name,role,seed,resample,support,balanced_accuracy
bimcv_resnet18_tier_b_proto_w2_kd_s43,tier_b_proto_w2_kd,43,5,15,0.7916666666666666
bimcv_resnet18_tier_b_proto_w2_kd_s43,tier_b_proto_w2_kd,43,6,14,0.6666666666666667
bimcv_resnet18_tier_b_proto_w2_kd_s43,tier_b_proto_w2_kd,43,7,18,0.8235294117647058
bimcv_resnet18_tier_b_proto_w2_kd_s43,tier_b_proto_w2_kd,43,8,17,0.65
bimcv_resnet18_tier_b_proto_w2_kd_s43,tier_b_proto_w2_kd,43,9,21,0.34210526315789475
bimcv_resnet18_tier_b_proto_w2_kd_s44,tier_b_proto_w2_kd,44,0,15,0.7916666666666667
bimcv_resnet18_tier_b_proto_w2_kd_s44,tier_b_proto_w2_kd,44,1,10,0.8888888888888888
bimcv_resnet18_tier_b_proto_w2_kd_s44,tier_b_proto_w2_kd,44,2,12,0.8181818181818181
bimcv_resnet18_tier_b_proto_w2_kd_s44,tier_b_proto_w2_kd,44,3,13,0.2916666666666667
bimcv_resnet18_tier_b_proto_w2_kd_s44,tier_b_proto_w2_kd,44,4,20,0.6666666666666667
bimcv_resnet18_tier_b_proto_w2_kd_s44,tier_b_proto_w2_kd,44,5,15,0.9583333333333333
bimcv_resnet18_tier_b_proto_w2_kd_s44,tier_b_proto_w2_kd,44,6,14,0.875
bimcv_resnet18_tier_b_proto_w2_kd_s44,tier_b_proto_w2_kd,44,7,18,0.8235294117647058
bimcv_resnet18_tier_b_proto_w2_kd_s44,tier_b_proto_w2_kd,44,8,17,0.8333333333333333
bimcv_resnet18_tier_b_proto_w2_kd_s44,tier_b_proto_w2_kd,44,9,21,0.7894736842105263
bimcv_resnet18_tier_b_proto_w2_kd_s45,tier_b_proto_w2_kd,45,0,15,0.7916666666666667
bimcv_resnet18_tier_b_proto_w2_kd_s45,tier_b_proto_w2_kd,45,1,10,1.0
