name,role,seed,resample,support,balanced_accuracy
bimcv_resnet18_tier_b_full_at_proto_kd_s44,tier_b_full_at_proto_kd,44,0,98,0.5858974358974359
bimcv_resnet18_tier_b_full_at_proto_kd_s44,tier_b_full_at_proto_kd,44,1,104,0.6590909090909091
bimcv_resnet18_tier_b_full_at_proto_kd_s44,tier_b_full_at_proto_kd,44,2,88,0.6095238095238096
bimcv_resnet18_tier_b_full_at_proto_kd_s44,tier_b_full_at_proto_kd,44,3,88,0.6215277777777778
bimcv_resnet18_tier_b_full_at_proto_kd_s44,tier_b_full_at_proto_kd,44,4,94,0.6772151898734178
bimcv_resnet18_tier_b_full_at_proto_kd_s44,tier_b_full_at_proto_kd,44,5,81,0.6502757352941176
bimcv_resnet18_tier_b_full_at_proto_kd_s44,tier_b_full_at_proto_kd,44,6,107,0.6062091503267973
bimcv_resnet18_tier_b_full_at_proto_kd_s44,tier_b_full_at_proto_kd,44,7,58,0.5565476190476191
bimcv_resnet18_tier_b_full_at_proto_kd_s44,tier_b_full_at_proto_kd,44,8,104,0.5857585139318885
bimcv_resnet18_tier_b_full_at_proto_kd_s44,tier_b_full_at_proto_kd,44,9,90,0.6466666666666667
bimcv_resnet18_tier_b_full_at_proto_kd_s45,tier_b_full_at_proto_kd,45,0,98,0.6
bimcv_resnet18_tier_b_full_at_proto_kd_s45,tier_b_full_at_proto_kd,45,1,104,0.6676136363636364
bimcv_resnet18_tier_b_full_at_proto_kd_s45,tier_b_full_at_proto_kd,45,2,88,0.6238095238095238
bimcv_resnet18_tier_b_full_at_proto_kd_s45,tier_b_full_at_proto_kd,45,3,88,0.5243055555555556
bimcv_resnet18_tier_b_full_at_proto_kd_s45,tier_b_full_at_proto_kd,45,4,94,0.6421940928270042
bimcv_resnet18_tier_b_full_at_proto_kd_s45,tier_b_full_at_proto_kd,45,5,81,0.6364889705882353
bimcv_resnet18_tier_b_full_at_proto_kd_s45,tier_b_full_at_proto_kd,45,6,107,0.6084967320261438
