2026-05-14T16:49:39	DONE_EVAL midrc_locked_xray_supervised_s45 rc=0
2026-05-14T16:49:40	DONE_EVAL midrc_locked_xray_plain_kd_s45 rc=0
2026-05-14T16:49:40	DONE_EVAL midrc_locked_teacher_ct_s47 rc=0
2026-05-14T16:49:40	DONE_EVAL midrc_locked_xray_reliability_gated_kd_s45 rc=0
2026-05-14T16:49:41	DONE_EVAL midrc_locked_xray_supervised_s46 rc=0
2026-05-14T16:49:42	DONE_EVAL midrc_locked_xray_plain_kd_s46 rc=0
2026-05-14T16:49:42	DONE_EVAL midrc_locked_xray_reliability_gated_kd_s46 rc=0
2026-05-14T16:49:43	DONE_EVAL midrc_locked_xray_supervised_s47 rc=0
2026-05-14T16:49:43	DONE_EVAL midrc_locked_xray_plain_kd_s47 rc=0
2026-05-14T16:49:44	DONE_EVAL midrc_locked_xray_reliability_gated_kd_s47 rc=0
2026-05-14T16:49:44	=== Summary ===
2026-05-14T16:49:44	=== EXPERIMENT DONE total_elapsed=2030.0s (33.8min) ===
2026-05-14T16:49:44	DONE_FLAG written: /root/autodl-tmp/logs/midrc_locked_h800_par/DONE_FLAG
2026-05-14T16:49:44	Auto-poweroff in 900s (15min)...
2026-05-14T16:49:44	Poweroff scheduled. Pull results now.
